source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,00,65.41,C2=C2 00 cents,turkish_rast_c_aeu_approx
C2+,C2+,00,69.30,C2+=C2+ 00 cents,turkish_rast_c_aeu_approx
D2,D2,04,73.59,D2=D2 04 cents,turkish_rast_c_aeu_approx
D2+,D2+,00,77.78,D2+=D2+ 00 cents,turkish_rast_c_aeu_approx
E2,D2+,85,81.70,E2=D2+ 85 cents,turkish_rast_c_aeu_approx
F2,E2,98,87.21,F2=E2 98 cents,turkish_rast_c_aeu_approx
F2+,F2+,00,92.50,F2+=F2+ 00 cents,turkish_rast_c_aeu_approx
G2,G2,02,98.11,G2=G2 02 cents,turkish_rast_c_aeu_approx
G2+,G2+,00,103.83,G2+=G2+ 00 cents,turkish_rast_c_aeu_approx
A2,A2,06,110.38,A2=A2 06 cents,turkish_rast_c_aeu_approx
A2+,A2+,00,116.54,A2+=A2+ 00 cents,turkish_rast_c_aeu_approx
B2,A2+,77,121.84,B2=A2+ 77 cents,turkish_rast_c_aeu_approx
C3,C3,00,130.81,C3=C3 00 cents,turkish_rast_c_aeu_approx
C3+,C3+,00,138.59,C3+=C3+ 00 cents,turkish_rast_c_aeu_approx
D3,D3,04,147.17,D3=D3 04 cents,turkish_rast_c_aeu_approx
D3+,D3+,00,155.56,D3+=D3+ 00 cents,turkish_rast_c_aeu_approx
E3,D3+,85,163.39,E3=D3+ 85 cents,turkish_rast_c_aeu_approx
F3,E3,98,174.41,F3=E3 98 cents,turkish_rast_c_aeu_approx
F3+,F3+,00,185.00,F3+=F3+ 00 cents,turkish_rast_c_aeu_approx
G3,G3,02,196.22,G3=G3 02 cents,turkish_rast_c_aeu_approx
G3+,G3+,00,207.65,G3+=G3+ 00 cents,turkish_rast_c_aeu_approx
A3,A3,06,220.76,A3=A3 06 cents,turkish_rast_c_aeu_approx
A3+,A3+,00,233.08,A3+=A3+ 00 cents,turkish_rast_c_aeu_approx
B3,A3+,77,243.68,B3=A3+ 77 cents,turkish_rast_c_aeu_approx
C4,C4,00,261.63,C4=C4 00 cents,turkish_rast_c_aeu_approx
C4+,C4+,00,277.18,C4+=C4+ 00 cents,turkish_rast_c_aeu_approx
D4,D4,04,294.34,D4=D4 04 cents,turkish_rast_c_aeu_approx
D4+,D4+,00,311.13,D4+=D4+ 00 cents,turkish_rast_c_aeu_approx
E4,D4+,85,326.78,E4=D4+ 85 cents,turkish_rast_c_aeu_approx
F4,E4,98,348.83,F4=E4 98 cents,turkish_rast_c_aeu_approx
F4+,F4+,00,369.99,F4+=F4+ 00 cents,turkish_rast_c_aeu_approx
G4,G4,02,392.45,G4=G4 02 cents,turkish_rast_c_aeu_approx
G4+,G4+,00,415.30,G4+=G4+ 00 cents,turkish_rast_c_aeu_approx
A4,A4,06,441.53,A4=A4 06 cents,turkish_rast_c_aeu_approx
A4+,A4+,00,466.16,A4+=A4+ 00 cents,turkish_rast_c_aeu_approx
B4,A4+,77,487.37,B4=A4+ 77 cents,turkish_rast_c_aeu_approx
C5,C5,00,523.25,C5=C5 00 cents,turkish_rast_c_aeu_approx
C5+,C5+,00,554.37,C5+=C5+ 00 cents,turkish_rast_c_aeu_approx
D5,D5,04,588.69,D5=D5 04 cents,turkish_rast_c_aeu_approx
D5+,D5+,00,622.25,D5+=D5+ 00 cents,turkish_rast_c_aeu_approx
E5,D5+,85,653.57,E5=D5+ 85 cents,turkish_rast_c_aeu_approx
F5,E5,98,697.65,F5=E5 98 cents,turkish_rast_c_aeu_approx
F5+,F5+,00,739.99,F5+=F5+ 00 cents,turkish_rast_c_aeu_approx
G5,G5,02,784.90,G5=G5 02 cents,turkish_rast_c_aeu_approx
G5+,G5+,00,830.61,G5+=G5+ 00 cents,turkish_rast_c_aeu_approx
A5,A5,06,883.06,A5=A5 06 cents,turkish_rast_c_aeu_approx
A5+,A5+,00,932.33,A5+=A5+ 00 cents,turkish_rast_c_aeu_approx
B5,A5+,77,974.73,B5=A5+ 77 cents,turkish_rast_c_aeu_approx
C6,C6,00,1046.50,C6=C6 00 cents,turkish_rast_c_aeu_approx
C6+,C6+,00,1108.73,C6+=C6+ 00 cents,turkish_rast_c_aeu_approx
D6,D6,04,1177.38,D6=D6 04 cents,turkish_rast_c_aeu_approx
D6+,D6+,00,1244.51,D6+=D6+ 00 cents,turkish_rast_c_aeu_approx
E6,D6+,85,1307.14,E6=D6+ 85 cents,turkish_rast_c_aeu_approx
F6,E6,98,1395.30,F6=E6 98 cents,turkish_rast_c_aeu_approx
F6+,F6+,00,1479.98,F6+=F6+ 00 cents,turkish_rast_c_aeu_approx
G6,G6,02,1569.79,G6=G6 02 cents,turkish_rast_c_aeu_approx
G6+,G6+,00,1661.22,G6+=G6+ 00 cents,turkish_rast_c_aeu_approx
A6,A6,06,1766.11,A6=A6 06 cents,turkish_rast_c_aeu_approx
A6+,A6+,00,1864.66,A6+=A6+ 00 cents,turkish_rast_c_aeu_approx
B6,A6+,77,1949.46,B6=A6+ 77 cents,turkish_rast_c_aeu_approx
C7,C7,00,2093.00,C7=C7 00 cents,turkish_rast_c_aeu_approx
