source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,C2,14,65.94,C2=C2 14 cents,turkish_hicaz_e_aeu_approx
C2+,C2+,00,69.30,C2+=C2+ 00 cents,turkish_hicaz_e_aeu_approx
D2,C2+,88,72.91,D2=C2+ 88 cents,turkish_hicaz_e_aeu_approx
D2+,D2+,00,77.78,D2+=D2+ 00 cents,turkish_hicaz_e_aeu_approx
E2,E2,00,82.41,E2=E2 00 cents,turkish_hicaz_e_aeu_approx
F2,F2,13,87.97,F2=F2 13 cents,turkish_hicaz_e_aeu_approx
F2+,F2+,00,92.50,F2+=F2+ 00 cents,turkish_hicaz_e_aeu_approx
G2,G2,00,98.00,G2=G2 00 cents,turkish_hicaz_e_aeu_approx
G2+,G2,86,102.99,G2+=G2 86 cents,turkish_hicaz_e_aeu_approx
A2,G2+,98,109.87,A2=G2+ 98 cents,turkish_hicaz_e_aeu_approx
A2+,A2+,00,116.54,A2+=A2+ 00 cents,turkish_hicaz_e_aeu_approx
B2,B2,02,123.61,B2=B2 02 cents,turkish_hicaz_e_aeu_approx
C3,C3,14,131.87,C3=C3 14 cents,turkish_hicaz_e_aeu_approx
C3+,C3+,00,138.59,C3+=C3+ 00 cents,turkish_hicaz_e_aeu_approx
D3,C3+,88,145.82,D3=C3+ 88 cents,turkish_hicaz_e_aeu_approx
D3+,D3+,00,155.56,D3+=D3+ 00 cents,turkish_hicaz_e_aeu_approx
E3,E3,00,164.81,E3=E3 00 cents,turkish_hicaz_e_aeu_approx
F3,F3,13,175.93,F3=F3 13 cents,turkish_hicaz_e_aeu_approx
F3+,F3+,00,185.00,F3+=F3+ 00 cents,turkish_hicaz_e_aeu_approx
G3,G3,00,196.00,G3=G3 00 cents,turkish_hicaz_e_aeu_approx
G3+,G3,86,205.98,G3+=G3 86 cents,turkish_hicaz_e_aeu_approx
A3,G3+,98,219.75,A3=G3+ 98 cents,turkish_hicaz_e_aeu_approx
A3+,A3+,00,233.08,A3+=A3+ 00 cents,turkish_hicaz_e_aeu_approx
B3,B3,02,247.23,B3=B3 02 cents,turkish_hicaz_e_aeu_approx
C4,C4,14,263.75,C4=C4 14 cents,turkish_hicaz_e_aeu_approx
C4+,C4+,00,277.18,C4+=C4+ 00 cents,turkish_hicaz_e_aeu_approx
D4,C4+,88,291.64,D4=C4+ 88 cents,turkish_hicaz_e_aeu_approx
D4+,D4+,00,311.13,D4+=D4+ 00 cents,turkish_hicaz_e_aeu_approx
E4,E4,00,329.63,E4=E4 00 cents,turkish_hicaz_e_aeu_approx
F4,F4,13,351.86,F4=F4 13 cents,turkish_hicaz_e_aeu_approx
F4+,F4+,00,369.99,F4+=F4+ 00 cents,turkish_hicaz_e_aeu_approx
G4,G4,00,392.00,G4=G4 00 cents,turkish_hicaz_e_aeu_approx
G4+,G4,86,411.96,G4+=G4 86 cents,turkish_hicaz_e_aeu_approx
A4,G4+,98,439.49,A4=G4+ 98 cents,turkish_hicaz_e_aeu_approx
A4+,A4+,00,466.16,A4+=A4+ 00 cents,turkish_hicaz_e_aeu_approx
B4,B4,02,494.45,B4=B4 02 cents,turkish_hicaz_e_aeu_approx
C5,C5,14,527.50,C5=C5 14 cents,turkish_hicaz_e_aeu_approx
C5+,C5+,00,554.37,C5+=C5+ 00 cents,turkish_hicaz_e_aeu_approx
D5,C5+,88,583.27,D5=C5+ 88 cents,turkish_hicaz_e_aeu_approx
D5+,D5+,00,622.25,D5+=D5+ 00 cents,turkish_hicaz_e_aeu_approx
E5,E5,00,659.26,E5=E5 00 cents,turkish_hicaz_e_aeu_approx
F5,F5,13,703.72,F5=F5 13 cents,turkish_hicaz_e_aeu_approx
F5+,F5+,00,739.99,F5+=F5+ 00 cents,turkish_hicaz_e_aeu_approx
G5,G5,00,783.99,G5=G5 00 cents,turkish_hicaz_e_aeu_approx
G5+,G5,86,823.92,G5+=G5 86 cents,turkish_hicaz_e_aeu_approx
A5,G5+,98,878.98,A5=G5+ 98 cents,turkish_hicaz_e_aeu_approx
A5+,A5+,00,932.33,A5+=A5+ 00 cents,turkish_hicaz_e_aeu_approx
B5,B5,02,988.91,B5=B5 02 cents,turkish_hicaz_e_aeu_approx
C6,C6,14,1055.00,C6=C6 14 cents,turkish_hicaz_e_aeu_approx
C6+,C6+,00,1108.73,C6+=C6+ 00 cents,turkish_hicaz_e_aeu_approx
D6,C6+,88,1166.55,D6=C6+ 88 cents,turkish_hicaz_e_aeu_approx
D6+,D6+,00,1244.51,D6+=D6+ 00 cents,turkish_hicaz_e_aeu_approx
E6,E6,00,1318.51,E6=E6 00 cents,turkish_hicaz_e_aeu_approx
F6,F6,13,1407.44,F6=F6 13 cents,turkish_hicaz_e_aeu_approx
F6+,F6+,00,1479.98,F6+=F6+ 00 cents,turkish_hicaz_e_aeu_approx
G6,G6,00,1567.98,G6=G6 00 cents,turkish_hicaz_e_aeu_approx
G6+,G6,86,1647.84,G6+=G6 86 cents,turkish_hicaz_e_aeu_approx
A6,G6+,98,1757.97,A6=G6+ 98 cents,turkish_hicaz_e_aeu_approx
A6+,A6+,00,1864.66,A6+=A6+ 00 cents,turkish_hicaz_e_aeu_approx
B6,B6,02,1977.82,B6=B6 02 cents,turkish_hicaz_e_aeu_approx
C7,C7,14,2110.00,C7=C7 14 cents,turkish_hicaz_e_aeu_approx
