source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,B1,30,62.81,C2=B1+30 cents,balkan_hijaz_e_from_a_centered
C+2,C+2,00,69.30,C+2=C+2+00 cents,balkan_hijaz_e_from_a_centered
D2,C+2,80,72.57,D2=C+2+80 cents,balkan_hijaz_e_from_a_centered
D+2,D+2,00,77.78,D+2=D+2+00 cents,balkan_hijaz_e_from_a_centered
E2,E2,00,82.41,E2=E2+00 cents,balkan_hijaz_e_from_a_centered
F2,F2,00,87.31,F2=F2+00 cents,balkan_hijaz_e_from_a_centered
F+2,F2,30,88.83,F+2=F2+30 cents,balkan_hijaz_e_from_a_centered
G2,G2,00,98.00,G2=G2+00 cents,balkan_hijaz_e_from_a_centered
G+2,G+2,00,103.83,G+2=G+2+00 cents,balkan_hijaz_e_from_a_centered
A2,A2,18,111.15,A2=A2+18 cents,balkan_hijaz_e_from_a_centered
A+2,A+2,00,116.54,A+2=A+2+00 cents,balkan_hijaz_e_from_a_centered
B2,B2,00,123.47,B2=B2+00 cents,balkan_hijaz_e_from_a_centered
C3,B2,30,125.63,C3=B2+30 cents,balkan_hijaz_e_from_a_centered
C+3,C+3,00,138.59,C+3=C+3+00 cents,balkan_hijaz_e_from_a_centered
D3,C+3,80,145.15,D3=C+3+80 cents,balkan_hijaz_e_from_a_centered
D+3,D+3,00,155.56,D+3=D+3+00 cents,balkan_hijaz_e_from_a_centered
E3,E3,00,164.81,E3=E3+00 cents,balkan_hijaz_e_from_a_centered
F3,F3,00,174.61,F3=F3+00 cents,balkan_hijaz_e_from_a_centered
F+3,F3,30,177.67,F+3=F3+30 cents,balkan_hijaz_e_from_a_centered
G3,G3,00,196.00,G3=G3+00 cents,balkan_hijaz_e_from_a_centered
G+3,G+3,00,207.65,G+3=G+3+00 cents,balkan_hijaz_e_from_a_centered
A3,A3,18,222.30,A3=A3+18 cents,balkan_hijaz_e_from_a_centered
A+3,A+3,00,233.08,A+3=A+3+00 cents,balkan_hijaz_e_from_a_centered
B3,B3,00,246.94,B3=B3+00 cents,balkan_hijaz_e_from_a_centered
C4,B3,30,251.26,C4=B3+30 cents,balkan_hijaz_e_from_a_centered
C+4,C+4,00,277.18,C+4=C+4+00 cents,balkan_hijaz_e_from_a_centered
D4,C+4,80,290.29,D4=C+4+80 cents,balkan_hijaz_e_from_a_centered
D+4,D+4,00,311.13,D+4=D+4+00 cents,balkan_hijaz_e_from_a_centered
E4,E4,00,329.63,E4=E4+00 cents,balkan_hijaz_e_from_a_centered
F4,F4,00,349.23,F4=F4+00 cents,balkan_hijaz_e_from_a_centered
F+4,F4,30,355.33,F+4=F4+30 cents,balkan_hijaz_e_from_a_centered
G4,G4,00,392.00,G4=G4+00 cents,balkan_hijaz_e_from_a_centered
G+4,G+4,00,415.30,G+4=G+4+00 cents,balkan_hijaz_e_from_a_centered
A4,A4,18,444.60,A4=A4+18 cents,balkan_hijaz_e_from_a_centered
A+4,A+4,00,466.16,A+4=A+4+00 cents,balkan_hijaz_e_from_a_centered
B4,B4,00,493.88,B4=B4+00 cents,balkan_hijaz_e_from_a_centered
C5,B4,30,502.52,C5=B4+30 cents,balkan_hijaz_e_from_a_centered
C+5,C+5,00,554.37,C+5=C+5+00 cents,balkan_hijaz_e_from_a_centered
D5,C+5,80,580.58,D5=C+5+80 cents,balkan_hijaz_e_from_a_centered
D+5,D+5,00,622.25,D+5=D+5+00 cents,balkan_hijaz_e_from_a_centered
E5,E5,00,659.26,E5=E5+00 cents,balkan_hijaz_e_from_a_centered
F5,F5,00,698.46,F5=F5+00 cents,balkan_hijaz_e_from_a_centered
F+5,F5,30,710.67,F+5=F5+30 cents,balkan_hijaz_e_from_a_centered
G5,G5,00,783.99,G5=G5+00 cents,balkan_hijaz_e_from_a_centered
G+5,G+5,00,830.61,G+5=G+5+00 cents,balkan_hijaz_e_from_a_centered
A5,A5,18,889.20,A5=A5+18 cents,balkan_hijaz_e_from_a_centered
A+5,A+5,00,932.33,A+5=A+5+00 cents,balkan_hijaz_e_from_a_centered
B5,B5,00,987.77,B5=B5+00 cents,balkan_hijaz_e_from_a_centered
C6,B5,30,1005.03,C6=B5+30 cents,balkan_hijaz_e_from_a_centered
C+6,C+6,00,1108.73,C+6=C+6+00 cents,balkan_hijaz_e_from_a_centered
D6,C+6,80,1161.17,D6=C+6+80 cents,balkan_hijaz_e_from_a_centered
D+6,D+6,00,1244.51,D+6=D+6+00 cents,balkan_hijaz_e_from_a_centered
E6,E6,00,1318.51,E6=E6+00 cents,balkan_hijaz_e_from_a_centered
F6,F6,00,1396.91,F6=F6+00 cents,balkan_hijaz_e_from_a_centered
F+6,F6,30,1421.33,F+6=F6+30 cents,balkan_hijaz_e_from_a_centered
G6,G6,00,1567.98,G6=G6+00 cents,balkan_hijaz_e_from_a_centered
G+6,G+6,00,1661.22,G+6=G+6+00 cents,balkan_hijaz_e_from_a_centered
A6,A6,18,1778.39,A6=A6+18 cents,balkan_hijaz_e_from_a_centered
A+6,A+6,00,1864.66,A+6=A+6+00 cents,balkan_hijaz_e_from_a_centered
B6,B6,00,1975.53,B6=B6+00 cents,balkan_hijaz_e_from_a_centered
C7,B6,30,2010.06,C7=B6+30 cents,balkan_hijaz_e_from_a_centered
